Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
27,Exit Long,Open,,,,,,,,,,,
27,Entry Long,Buy,2022-10-24,148.35,,,,,,,,,
26,Exit Long,Close entry(s) order Buy,2022-06-06,147.03,1,96.55,191.26,135.69,0.01,132.46,262.4,7.91,15.67
26,Entry Long,Buy,2019-05-08,50.48,1,96.55,191.26,135.69,0.01,132.46,262.4,7.91,15.67
25,Exit Long,Close entry(s) order Buy,2018-12-21,39.22,1,12.24,45.37,39.14,0,31.39,116.35,1.35,5
25,Entry Long,Buy,2016-09-06,26.98,1,12.24,45.37,39.14,0,31.39,116.35,1.35,5
24,Exit Long,Close entry(s) order Buy,2015-08-27,28.06,1,11.30,67.42,26.90,0,16.87,100.66,0.79,4.71
24,Entry Long,Buy,2013-09-13,16.76,1,11.30,67.42,26.90,0,16.87,100.66,0.79,4.71
23,Exit Long,Close entry(s) order Buy,2012-12-10,18.75,1,14.47,338.08,15.60,0,20.90,488.32,0.01,0.23
23,Entry Long,Buy,2009-05-14,4.28,1,14.47,338.08,15.60,0,20.90,488.32,0.01,0.23
22,Exit Long,Close entry(s) order Buy,2008-09-24,4.55,1,-2.16,-32.19,1.13,0,0.07,1.04,2.40,35.77
22,Entry Long,Buy,2008-05-19,6.71,1,-2.16,-32.19,1.13,0,0.07,1.04,2.40,35.77
21,Exit Long,Close entry(s) order Buy,2008-03-07,4.30,1,1.58,58.09,3.29,0,4.53,166.54,0.13,4.78
21,Entry Long,Buy,2006-09-26,2.72,1,1.58,58.09,3.29,0,4.53,166.54,0.13,4.78
20,Exit Long,Close entry(s) order Buy,2006-06-22,2.08,1,1.74,511.76,1.71,0,2.75,808.82,0.04,11.76
20,Entry Long,Buy,2003-05-16,0.3400,1,1.74,511.76,1.71,0,2.75,808.82,0.04,11.76
19,Exit Long,Close entry(s) order Buy,2002-07-10,0.3200,1,-0.10,-23.81,-0.03,0,0.05,11.9,0.13,30.95
19,Entry Long,Buy,2002-01-07,0.4200,1,-0.10,-23.81,-0.03,0,0.05,11.9,0.13,30.95
18,Exit Long,Close entry(s) order Buy,2001-09-07,0.3100,1,-0.12,-27.91,0.07,0,0.02,4.65,0.12,27.91
18,Entry Long,Buy,2001-06-27,0.4300,1,-0.12,-27.91,0.07,0,0.02,4.65,0.12,27.91
17,Exit Long,Close entry(s) order Buy,2000-07-07,0.9400,1,0.54,135,0.19,0,0.94,235,0.03,7.5
17,Entry Long,Buy,1999-05-12,0.4000,1,0.54,135,0.19,0,0.94,235,0.03,7.5
16,Exit Long,Close entry(s) order Buy,1999-04-08,0.3300,1,0.11,50,-0.35,0,0.20,90.91,0.02,9.09
16,Entry Long,Buy,1998-03-06,0.2200,1,0.11,50,-0.35,0,0.20,90.91,0.02,9.09
15,Exit Long,Close entry(s) order Buy,1997-12-15,0.1300,1,-0.07,-35,-0.46,0,0.02,10,0.08,40
15,Entry Long,Buy,1997-09-02,0.2000,1,-0.07,-35,-0.46,0,0.02,10,0.08,40
14,Exit Long,Close entry(s) order Buy,1997-01-13,0.1700,1,-0.06,-26.09,-0.39,0,0,0,0.08,34.78
14,Entry Long,Buy,1996-11-25,0.2300,1,-0.06,-26.09,-0.39,0,0,0,0.08,34.78
13,Exit Long,Close entry(s) order Buy,1995-10-10,0.3100,1,-0.07,-18.42,-0.33,0,0.07,18.42,0.07,18.42
13,Entry Long,Buy,1995-05-31,0.3800,1,-0.07,-18.42,-0.33,0,0.07,18.42,0.07,18.42
12,Exit Long,Close entry(s) order Buy,1995-05-01,0.3400,1,0.02,6.25,-0.26,0,0.11,34.38,0.03,9.38
12,Entry Long,Buy,1994-09-09,0.3200,1,0.02,6.25,-0.26,0,0.11,34.38,0.03,9.38
11,Exit Long,Close entry(s) order Buy,1994-06-09,0.2300,1,-0.10,-30.3,-0.28,0,0.01,3.03,0.10,30.3
11,Entry Long,Buy,1994-03-04,0.3300,1,-0.10,-30.3,-0.28,0,0.01,3.03,0.10,30.3
10,Exit Long,Close entry(s) order Buy,1993-05-07,0.4800,1,-0.03,-5.88,-0.18,0,0.07,13.73,0.09,17.65
10,Entry Long,Buy,1992-12-14,0.5100,1,-0.03,-5.88,-0.18,0,0.07,13.73,0.09,17.65
9,Exit Long,Close entry(s) order Buy,1992-06-25,0.4200,1,-0.12,-22.22,-0.15,0,0.08,14.81,0.16,29.63
9,Entry Long,Buy,1992-01-03,0.5400,1,-0.12,-22.22,-0.15,0,0.08,14.81,0.16,29.63
8,Exit Long,Close entry(s) order Buy,1991-07-05,0.3900,1,-0.02,-4.88,-0.03,0,0.24,58.54,0.05,12.2
8,Entry Long,Buy,1991-01-10,0.4100,1,-0.02,-4.88,-0.03,0,0.24,58.54,0.05,12.2
7,Exit Long,Close entry(s) order Buy,1990-09-24,0.2800,1,-0.09,-24.32,-0.01,0,0.06,16.22,0.09,24.32
7,Entry Long,Buy,1990-05-23,0.3700,1,-0.09,-24.32,-0.01,0,0.06,16.22,0.09,24.32
6,Exit Long,Close entry(s) order Buy,1990-01-03,0.3300,1,-0.10,-23.26,0.08,0,0.02,4.65,0.14,32.56
6,Entry Long,Buy,1989-05-26,0.4300,1,-0.10,-23.26,0.08,0,0.02,4.65,0.14,32.56
5,Exit Long,Close entry(s) order Buy,1988-09-26,0.3900,1,-0.02,-4.88,0.18,0,0.01,2.44,0.07,17.07
5,Entry Long,Buy,1988-07-01,0.4100,1,-0.02,-4.88,0.18,0,0.01,2.44,0.07,17.07
4,Exit Long,Close entry(s) order Buy,1987-12-09,0.3100,1,0.22,244.44,0.20,0,0.44,488.89,0,0
4,Entry Long,Buy,1985-12-12,0.0900,1,0.22,244.44,0.20,0,0.44,488.89,0,0
3,Exit Long,Close entry(s) order Buy,1985-03-28,0.1000,1,-0.03,-23.08,-0.02,0,0.01,7.69,0.04,30.77
3,Entry Long,Buy,1985-02-07,0.1300,1,-0.03,-23.08,-0.02,0,0.01,7.69,0.04,30.77
