,All USD,All %,Long USD,Long %,Short USD,Short %
Net Profit,135.69,0.01,135.69,0.01,0,0
Gross Profit,138.81,0.01,138.81,0.01,0,0
Gross Loss,3.12,0,3.12,0,0,0
Max Run-up,186.03,0.02,,,,
Max Drawdown,24.18,0,,,,
Buy & Hold Return,1780800000.00,178080,,,,
Sharpe Ratio,-358.11,,,,,
Sortino Ratio,-1,,,,,
Profit Factor,44.49,,44.49,,N/A,
Max Contracts Held,1,,1,,0,
Open PL,29.83,0,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,26,,26,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,11,,11,,0,
Number Losing Trades,15,,15,,0,
Percent Profitable,42.31,,42.31,,N/A,
Avg Trade,5.22,52.46,5.22,52.46,N/A,N/A
Avg Winning Trade,12.62,153.43,12.62,153.43,N/A,N/A
Avg Losing Trade,0.21,21.58,0.21,21.58,N/A,N/A
Ratio Avg Win / Avg Loss,60.669,,60.669,,N/A,
Largest Winning Trade,96.55,511.76,96.55,511.76,N/A,N/A
Largest Losing Trade,2.16,35,2.16,35,N/A,N/A
Avg # Bars in Trades,257,,257,,0,
Avg # Bars in Winning Trades,487,,487,,0,
Avg # Bars in Losing Trades,88,,88,,0,
Margin Calls,0,,0,,0,
